lgaCode,lCode,schCode,progID,schName,id
2,660742704,53,1,"NEW CONVENANT PRIMARY SCHOOL, OGWASHI-UKU",1452
2,660742704,54,1,"UMUOKWE PRIMARY SCHOOL, ABOH OGWASHI-UKU",1453
2,660742704,55,1,"UMOMI PRIMARY SCHOOL, EWULU",1454
2,660742704,56,1,"UNU PRIMARY SCHOOL, ABAH-UNOR",1455
2,660742704,57,1,"UTOLI PRIMARY SCHOOL, UBULU-OKITI",1456
2,660742704,58,1,"BEERSHEBA PRIMARY SCHOOL, UBULU-UKU",1457
2,660742704,59,1,"DAUGHTERS OF DIVINE LOVE NUR/PRY SCHOOL, UBULU-UKU",1458
2,660742704,60,1,"DIVINE LOVE NUR/PRY SCHOOL, OGWASHI-UKU",1459
2,660742704,61,1,"DELTA PREPARATORY & PRIMARY SCHOOL, OGWASHI-UKU",1460
2,660742704,62,1,"DEEPER KNOWLEDGE PRIMARY SCHOOL, OLUKU",1461
2,660742704,63,1,"JESUS THE GOOD TEACHER NUR/PRY SCHOOL, OGWASHI-UKU",1462
2,660742704,64,1,"NEW HOPE NURSERY/PRIMARY SCHOOL, OGWASHI-UKU",1463
2,660742704,65,1,"SANTA MARIA PRIVATE SCHOOL, OGWASHI-UKU",1464
2,660742704,66,1,"LUMEN CHRISTI NURSERY/PRIMARY SCHOOL, UBULU-UKU",1465
2,660742704,67,1,"ADULT EDUCATION CENTRE, OGWASHI-UKU",1466
2,660742704,68,1,"CROSS CROWN NURSERY/PRIMARY SCHOOL, OGWASHI-UKU",1467
2,660742704,69,1,"FRANCISCAN NURSERY/PRIMARY SCHOOL, OGWASHI-UKU",1468
2,660742704,70,1,"ADULT EDUCATION CENTRE, NSUKWA",1469
2,660742704,71,1,"OBODO NURSERY/PRIMARY SCHOOL, UBULU-UNOR",1470
2,660742704,72,1,"BRIGADE INTENSIVE SCHOOL, OGWASHI-UKU",1471
2,660742704,73,1,"ST. MARK'S NURSERY/PRIMARY SCHOOL, UBULU-UKU",1472
2,660742704,74,1,"GOD'S TIME NURSERY/PRIMARY SCHOOL, OGWASHI-UKU",1473
2,660742704,75,1,"DIVINE FAVOUR ACADEMY, OGWASHI-UKU",1474
2,660742704,76,1,"ROYAL FOUNDATION PRIMARY SCHOOL, OGWASHI-UKU",1475
2,660742704,77,1,"ALL SAINT'S PRIMARY SCHOOL, ISHEAGU",1476
2,660742704,79,1,"SANTA MARIA PRIVATE SCHOOL, OGWASHI-UKU",1477
2,660742704,80,1,"HOPE ACADEMY NURSERY/PRIMARY SCHOOL, UBULU-UKU",1478
2,660742704,81,1,"UCHECHUKWU PRIMARY SCHOOL, OGWASHI-UKU",1479
2,660742704,82,1,"ADULT EDUCATION CENTRE, EWULU ZONE",1480
2,660742704,83,1,"FIRM FOUNDATION PRIMARY SCHOOL, UBULU-UKU",1481
2,660742704,84,1,"IMMANUEL ANGLICAN NURSERY/PRIMARY SCHOOL, OGWASHI-UKU",1482
2,660742704,85,1,"CHRISTOPHER LIVINGSTONE SCHOOL, NSUKWA",1483
2,660742704,86,1,"IMMACULATE CONCEPTION NURSERY/PRIMARY SCHOOL, ISHEAGU",1484
2,660742704,88,1,"CLIMAX ACADEMY GROUP OF SCHOOLS, OGWASHI-UKU",1485
2,660742704,90,1,"DOMINION NURSERY/PRIMARY SCHOOL, OGWASHI-UKU",1486
2,660742704,91,1,"EVOLUTION MODEL PRIMARY SCHOOL, AZAGBA-OLUKU",1487
2,660742704,93,1,"ST. JOSEPH'S CATHOLIC NURSERT/PRIMARY SCHOOL, NSUKWA",1488
2,660742704,94,1,"AUNTY BOSE PRIMARY SCHOOL, OGWASHI-UKU",1489
2,660742704,92,1,"ANIOGOR PRIMARY SCHOOL II, EJEME ANIOGOR",2526
2,660742704,98,1,"WINNING FAITH ACADEMY, OGWASHI-UKU",4046
2,660742704,87,1,"OLODU PRIMARY SCHOOL, OLODU",4047
2,660742704,78,1,"ADULT EDCATION CENTRE, ASHAMA",4048
2,660742704,95,1,"STEPPING STONE NUR/PRY SCHOOL, OLLOH OGWASHI-UKU",4049
2,660742704,96,1,"TREASUREDALE INTERNATIONAL SCHOOL, OGWASHI-UKU",4050
2,660742704,97,1,"KINGS INT'L NURSER/PRIMARY SCHOOL, OGWASHI-UKU",4051
2,660742704,89,1,"ABUANOR PRIMARY SCHOOL II, OGWASHI-UKU",4064
2,660742704,99,1,"UKWUDIOGOR PRIMARY SCHOOL II, EDO OGWASHI-UKU",4065
2,660742704,100,1,"NGWU PRIMARY SCHOOL II, OGWASHI-UKU",4066
2,660742704,106,1,"EDO PRIMARY SCHOOL, EDO OGWASHI-UKU",4292
2,660742704,105,1,"ST. STEPHEN'S NURSERY/PRIMARY SCHOOL, EWULU",4326
2,660742704,103,1,"ST. PAUL'S ANGLICAN NUR/PRY SCHOOL, UBULU-OKITI",4327
2,660742704,102,1,"SHEKINA GLORY NUR/PRY SCHOOL, OGWASHI-UKU",4328
2,660742704,101,1,"DE-LAST ADAM ACADEMY NUR/PRY SCHOOL, AZAGBA",4329
2,660742704,107,1,"KINGDOM HERITAGE MODEL SCHOOL, OGWASHI-UKU",4582
2,660742704,108,1,"FRANKFELIX ACADEMY, OGWASHI-UKU",4639
2,660742704,109,1,"ADULT EDUCATION, OGWASHI-UKU",4640
2,660742704,110,1,"PATMOS NURSERY/PRIMARY/SCHOOL, OGWASHI-UKU",4860
2,660742704,111,1,"STONE OF HOPE CHILDREN FOUNDATION  N/P/S, EJEME ANIOGOR",4861
2,660742704,112,1,"PRESTIGE NURSERY/PRIMARY SCHOOL, OGWASHI-UKU",4927
2,660742704,113,1,"JUSTICE, PEACE AND SUCCESS (JPS) ACADEMY, OGWASHI-UKU",4928
